time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0720244834511,0.174671540702,11.8828291833,0.0574555392857,6.28267815357,0.0,-0.115294563331,0.458900544749,2.97771748973,0.0130851256392,-0.00436395199995,0.0,473.4516886098273,474.7358124661513,471.7371022496263,472.8529866711318
1.3800000000000008,-0.0789304375855,0.203463750588,12.0657151341,0.0579701904455,6.28221185957,0.0,-0.114865947643,0.500886403618,3.11809654094,-0.00244880442396,-0.0156480587761,0.0,459.15551601366695,458.2595301382246,458.5023969012272,457.266496138953
1.4400000000000008,-0.0857983347368,0.23477135662,12.2568433366,0.0577293262969,6.28155058894,0.0,-0.113980092826,0.542653291042,3.2524646523,-0.00734561280159,-0.00308312230751,0.0,456.3504773984851,457.35246567844496,457.8579470857473,457.4682654973087
1.5000000000000009,-0.0926045531446,0.268471132386,12.4541887737,0.0572329033963,6.28140263392,0.0,-0.112877883628,0.580609071183,3.32550312924,-0.0101977428451,-0.00125914515265,0.0,439.1577048575237,439.30902758585694,438.7488176743514,438.5120674148061
1.560000000000001,-0.0993420550132,0.304438092394,12.6559402901,0.0566804755909,6.28092002849,0.0,-0.111684010168,0.618214110541,3.39932765407,-0.00729604984162,-0.0272348626176,0.0,439.80929791344283,437.652585519885,440.42608862563424,440.6661460297561
1.620000000000001,-0.105986344648,0.342790552916,12.8645932862,0.0567805009892,6.27882924665,0.0,-0.109596818338,0.660154204943,3.55529223903,0.0153286665609,-0.0579015602642,0.0,466.6067903577207,464.2058084988735,464.65952438530996,466.4298561907095
1.680000000000001,-0.112440207068,0.38378976003,13.0847790933,0.0579828071767,6.27552029444,0.0,-0.105126037219,0.706568220452,3.78348651346,0.0280984468216,-0.0501475632811,0.0,486.36712465606905,486.9457641975236,488.16258813758094,489.1145084940952
1.740000000000001,-0.118591201593,0.427288520543,13.3132265438,0.059652821182,6.27244780235,0.0,-0.0996218959848,0.743533190422,3.83124857379,0.0272985580646,-0.0534178021336,0.0,433.7698489790744,433.4933651524449,435.3039588593253,435.23722932224564
1.8000000000000012,-0.124305429064,0.473284652347,13.5486856481,0.0611463992215,6.26908778064,0.0,-0.090483947774,0.789806062791,4.01672604329,0.0195868238226,-0.0617404697093,0.0,477.35713627684106,476.71966664299225,477.4901517916299,476.90149575703634
1.8600000000000012,-0.129427862231,0.521936789612,13.7927986053,0.0623562000238,6.2654826929,0.0,-0.0798949181154,0.832023606065,4.1199810264,0.021292064167,-0.0569649040214,0.0,453.1741426119974,453.5553944248604,454.0361958959262,454.1729593096149
1.9200000000000013,-0.133838028969,0.573157527713,14.0432897176,0.0634740682766,6.26242319211,0.0,-0.0667852237475,0.875425225358,4.22929723478,0.0126935601475,-0.0411368249097,0.0,455.29322792738907,456.5562718789263,457.2500509028726,456.5644200647425
1.9800000000000013,-0.137458543014,0.626828761602,14.297615061,0.0641052809202,6.25991249428,0.0,-0.0536757816862,0.913665130167,4.24812535384,0.00577458226675,-0.0432998232358,0.0,428.6125462766318,428.42764677181253,429.1094844379346,428.5215580660415
2.0400000000000014,-0.140190895834,0.682951941537,14.5553884791,0.064597502618,6.25714858116,0.0,-0.0371398408579,0.957116836117,4.34394016392,0.0126662355153,-0.0522637028947,0.0,453.4415335445821,452.71956319557535,453.2865584703536,453.839978706602
2.1000000000000014,-0.141911666311,0.74159676182,14.8174438636,0.0651257327559,6.2543772733,0.0,-0.0199475519611,0.997750013453,4.39103553897,-0.000328269280233,-0.0361935558223,0.0,437.3746694696583,438.70980330091834,440.1411905972416,439.06421100304703
